playerID,sportCode,team_id,team_abbrev,team_name,positionCode,firstName,lastName,dateOfBirth,height,weight,number,college,birthCountry,birthCityState,draftYear,playerID,totalGoals,assists,saves
225561,FIF,624,ALG,Algeria,G,Luca,Zidane,1998-05-13,"6' 0""",172.0,23,NULL,Algeria,NULL,NULL,225561,0,0,8
299346,FIF,624,ALG,Algeria,G,Oussama,Benbot,1994-10-11,"6' 2""",196.0,16,NULL,Algeria,NULL,NULL,299346,0,0,0
324711,FIF,624,ALG,Algeria,G,Melvin,Mastil,2000-02-19,"6' 4""",196.0,1,NULL,Algeria,NULL,NULL,324711,0,0,0
150451,FIF,624,ALG,Algeria,D,Aïssa,Mandi,1991-10-22,"6' 1""",179.0,2,NULL,Algeria,NULL,NULL,150451,0,0,0
220703,FIF,624,ALG,Algeria,D,Ramy,Bensebaini,1995-04-16,"6' 2""",181.0,21,NULL,Algeria,NULL,NULL,220703,0,0,0
272512,FIF,624,ALG,Algeria,D,Rayan,Aït-Nouri,2001-06-06,"5' 11""",174.0,15,NULL,Algeria,NULL,NULL,272512,0,0,0
285539,FIF,624,ALG,Algeria,D,Mohamed Amine,Tougai,2000-01-22,"6' 1""",183.0,4,NULL,Algeria,NULL,NULL,285539,0,0,0
285547,FIF,624,ALG,Algeria,D,Zineddine,Belaïd,1999-03-20,"6' 1""",183.0,5,NULL,Algeria,NULL,NULL,285547,0,0,0
287572,FIF,624,ALG,Algeria,D,Samir,Chergui,1999-02-06,"6' 1""",172.0,26,NULL,Algeria,NULL,NULL,287572,0,0,0
306033,FIF,624,ALG,Algeria,D,Jaouen,Hadjam,2003-03-26,"6' 1""",181.0,13,NULL,Algeria,NULL,NULL,306033,0,0,0
364590,FIF,624,ALG,Algeria,D,Rafik,Belghali,2002-06-07,"5' 10""",150.0,17,NULL,Algeria,NULL,NULL,364590,1,0,0
407797,FIF,624,ALG,Algeria,D,Achraf,Abada,1999-06-15,"6' 1""",172.0,3,NULL,Algeria,NULL,NULL,407797,0,0,0
179187,FIF,624,ALG,Algeria,M,Nabil,Bentaleb,1994-11-24,"6' 2""",168.0,19,NULL,Algeria,NULL,NULL,179187,0,0,0
241116,FIF,624,ALG,Algeria,M,Houssem,Aouar,1998-06-30,"5' 9""",152.0,8,NULL,Algeria,NULL,NULL,241116,0,2,0
287078,FIF,624,ALG,Algeria,M,Hicham,Boudaoui,1999-09-23,"5' 9""",132.0,14,NULL,Algeria,NULL,NULL,287078,0,0,0
290517,FIF,624,ALG,Algeria,M,Ramiz,Zerrouki,1998-05-26,"6' 0""",181.0,6,NULL,Algeria,NULL,NULL,290517,0,0,0
