playerID,sportCode,team_id,team_abbrev,team_name,positionCode,firstName,lastName,dateOfBirth,height,weight,number,college,birthCountry,birthCityState,draftYear,playerID,bats,throws,battingAverage,homeRuns,ERA
4926295,MLB,29,ARI,Diamondbacks,RP,Philip,Abner,2002-05-05,"6' 1""",230.0,50,Florida,United States,"Charlotte, NC",2025,4926295,L,L,NULL,NULL,NULL
5123768,MLB,29,ARI,Diamondbacks,SP,Mitch,Bratt,2003-07-03,"6' 1""",190.0,60,NULL,Canada,"Newmarket, ON",2026,5123768,L,L,NULL,NULL,NULL
35277,MLB,29,ARI,Diamondbacks,RP,Taylor,Clarke,1993-05-13,"6' 3""",210.0,45,Charleston,United States,"Ashburn, VA",2019,35277,R,R,NULL,NULL,NULL
5202600,MLB,29,ARI,Diamondbacks,RP,Brandyn,Garcia,2000-05-27,"6' 4""",235.0,55,NULL,United States,"Newport, RI",2025,5202600,L,L,NULL,NULL,NULL
41432,MLB,29,ARI,Diamondbacks,RP,Kevin,Ginkel,1994-03-24,"6' 4""",235.0,37,Southwestern University,United States,"San Diego, CA",2019,41432,L,R,NULL,NULL,NULL
4415753,MLB,29,ARI,Diamondbacks,RP,Drey,Jameson,1997-08-17,"6' 0""",165.0,99,Ball State,United States,"Greenfield, IN",2022,4415753,R,R,NULL,NULL,NULL
32968,MLB,29,ARI,Diamondbacks,SP,Merrill,Kelly,1988-10-14,"6' 2""",202.0,29,Arizona State,United States,"Houston, TX",2019,32968,R,R,NULL,NULL,NULL
39807,MLB,29,ARI,Diamondbacks,RP,Jonathan,Loaisiga,1994-11-02,"5' 11""",195.0,43,NULL,Nicaragua,Managua,2018,39807,R,R,NULL,NULL,NULL
4722925,MLB,29,ARI,Diamondbacks,RP,Juan,Morillo,1999-03-19,"6' 1""",150.0,62,NULL,Venezuela,Maracaibo,2025,4722925,R,R,NULL,NULL,NULL
4721302,MLB,29,ARI,Diamondbacks,RP,Brandon,Pfaadt,1998-10-15,"6' 4""",220.0,32,Bellarmine,United States,"Louisville, KY",2023,4721302,R,R,NULL,NULL,NULL
32675,MLB,29,ARI,Diamondbacks,SP,Eduardo,Rodriguez,1993-04-07,"6' 2""",231.0,57,NULL,Venezuela,Valencia,2015,32675,L,L,NULL,NULL,NULL
