playerID,sportCode,team_id,team_abbrev,team_name,positionCode,firstName,lastName,dateOfBirth,height,weight,number,college,birthCountry,birthCityState,draftYear,playerID,pointsPerGame,reboundsPerGame,assistsPerGame
4278039,NBA,1,ATL,Hawks,G,Nickeil,Alexander-Walker,1998-09-02,"6' 5""",205.0,7,Virginia Tech,Canada,"Toronto, ON",2019,4278039,NULL,NULL,NULL
4065673,NBA,1,ATL,Hawks,C,Tony,Bradley,1998-01-08,"6' 10""",248.0,13,North Carolina,USA,"Bartow, FL",2017,4065673,NULL,NULL,NULL
4433188,NBA,1,ATL,Hawks,G,Devin,Carter,2002-03-18,"6' 2""",195.0,22,Providence,USA,"Miami, FL",2024,4433188,NULL,NULL,NULL
4869342,NBA,1,ATL,Hawks,G,Dyson,Daniels,2003-03-17,"6' 7""",199.0,5,NULL,Australia,"Bendigo, VIC",2022,4869342,NULL,NULL,NULL
4431941,NBA,1,ATL,Hawks,G,RayJ,Dennis,2001-03-30,"6' 2""",180.0,00,Baylor,USA,"Plainfield, IL",2024,4431941,NULL,NULL,NULL
5106262,NBA,1,ATL,Hawks,F,Zuby,Ejiofor,2004-04-20,"6' 8""",245.0,NULL,St. John's,USA,"Garland, TX",2026,5106262,NULL,NULL,NULL
5149077,NBA,1,ATL,Hawks,G,Kingston,Flemings,2007-01-03,"6' 3""",183.0,NULL,Houston,USA,"San Antonio, TX",2026,5149077,NULL,NULL,NULL
4585618,NBA,1,ATL,Hawks,G,Keshon,Gilbert,2003-06-30,"6' 4""",200.0,NULL,Iowa State,USA,"Saint Louis, MO",2025,4585618,NULL,NULL,NULL
4712863,NBA,1,ATL,Hawks,F,Mouhamed,Gueye,2002-11-09,"6' 11""",210.0,18,Washington State,Senegal,Dakar,2023,4712863,NULL,NULL,NULL
2990984,NBA,1,ATL,Hawks,G,Buddy,Hield,1992-12-17,"6' 4""",220.0,8,Oklahoma,Bahamas,"Freeport, GB",2016,2990984,NULL,NULL,NULL
4701230,NBA,1,ATL,Hawks,F,Jalen,Johnson,2001-12-18,"6' 8""",219.0,1,Duke,USA,"Milwaukee, WI",2021,4701230,NULL,NULL,NULL
4280151,NBA,1,ATL,Hawks,F,Corey,Kispert,1999-03-03,"6' 6""",224.0,24,Gonzaga,USA,"Edmonds, WA",2021,4280151,NULL,NULL,NULL
4431778,NBA,1,ATL,Hawks,C,Christian,Koloko,2000-06-20,"6' 11""",225.0,35,Arizona,Cameroon,Douala,2022,4431778,NULL,NULL,NULL
3146557,NBA,1,ATL,Hawks,C,Jock,Landale,1995-10-25,"6' 11""",255.0,31,Saint Mary's,Australia,"E Malvern, VIC",2021,3146557,NULL,NULL,NULL
2490149,NBA,1,ATL,Hawks,G,CJ,McCollum,1991-09-19,"6' 3""",190.0,3,Lehigh,USA,"Canton, OH",2013,2490149,NULL,NULL,NULL
4873201,NBA,1,ATL,Hawks,F,Asa,Newell,2005-10-05,"6' 11""",224.0,14,Georgia,USA,"Destin, FL",2025,4873201,NULL,NULL,NULL
4431680,NBA,1,ATL,Hawks,F,Onyeka,Okongwu,2000-12-11,"6' 10""",240.0,17,USC,USA,"Chino, CA",2020,4431680,NULL,NULL,NULL
5211175,NBA,1,ATL,Hawks,F,Zaccharie,Risacher,2005-04-08,"6' 8""",200.0,10,NULL,NULL,NULL,2024,5211175,NULL,NULL,NULL
5105571,NBA,1,ATL,Hawks,C,Henri,Veesaar,2004-03-28,"7' 0""",227.0,NULL,North Carolina,Estonia,Tallin,2026,5105571,NULL,NULL,NULL
