playerID,sportCode,teamCode,positionCode,firstName,lastName,dateOfBirth,height,weight,number,college,birthCountry,birthCityState,draftYear,playerID,handed,goals,penaltyMinutes,points,savePct
8484153,NHL,ANA,C,Leo,Carlsson,2004-12-26,"6' 3""",208,91,NULL,SWE,Karlstad,2023,8484153,L,29,33,67,NULL
8481538,NHL,ANA,R,Judd,Caulfield,2001-03-19,"6' 3""",220,75,NULL,USA,"Grand Forks, North Dakota",2019,8481538,R,NULL,NULL,NULL,NULL
8483444,NHL,ANA,C,Nathan,Gaucher,2003-11-06,"6' 3""",226,41,NULL,CAN,"Chambly, Quebec",2022,8483444,R,0,0,0,NULL
8483445,NHL,ANA,L,Cutter,Gauthier,2004-01-19,"6' 2""",205,61,NULL,SWE,Skelleftea,2022,8483445,L,41,28,69,NULL
8475798,NHL,ANA,C,Mikael,Granlund,1992-02-26,"5' 10""",193,64,NULL,FIN,Oulu,2010,8475798,L,19,18,41,NULL
8478421,NHL,ANA,L,A.J.,Greer,1996-12-14,"6' 3""",224,NULL,NULL,CAN,"Joliette, Quebec",2015,8478421,L,17,113,32,NULL
8480468,NHL,ANA,L,James,Hamblin,1999-04-27,"5' 10""",185,NULL,NULL,CAN,"Edmonton, Alberta",NULL,8480468,L,2,0,3,NULL
8473986,NHL,ANA,L,Alex,Killorn,1989-09-14,"6' 1""",205,17,NULL,CAN,"Halifax, Nova Scotia",2007,8473986,L,15,40,33,NULL
8475184,NHL,ANA,L,Chris,Kreider,1991-04-30,"6' 3""",232,20,NULL,USA,"Boxford, Massachusetts",2009,8475184,L,22,34,50,NULL
8482408,NHL,ANA,L,Jeff,Malott,1996-08-07,"6' 5""",215,NULL,NULL,CAN,"Burlington, Ontario",NULL,8482408,L,3,55,9,NULL
8484201,NHL,ANA,L,Nico,Myatovic,2004-12-01,"6' 2""",203,48,NULL,CAN,"Prince George, British Columbia",2023,8484201,L,NULL,NULL,NULL,NULL
8480068,NHL,ANA,C,Ryan,Poehling,1999-01-03,"6' 2""",206,25,NULL,USA,"Lakeville, Minnesota",2017,8480068,L,11,12,36,NULL
8484762,NHL,ANA,R,Beckett,Sennecke,2006-01-28,"6' 3""",206,45,NULL,CAN,"Toronto, Ontario",2024,8484762,R,23,62,60,NULL
8478873,NHL,ANA,R,Troy,Terry,1997-09-10,"6' 0""",193,19,NULL,USA,"Denver, Colorado",2015,8478873,R,19,14,57,NULL
8478366,NHL,ANA,R,Frank,Vatrano,1994-03-14,"5' 11""",203,77,NULL,USA,"East Longmeadow, Massachusetts",NULL,8478366,L,5,40,9,NULL
8484238,NHL,ANA,C,Anton,Wahlberg,2005-07-04,"6' 4""",205,NULL,NULL,SWE,Malmo,2023,8484238,L,NULL,NULL,NULL,NULL
8485512,NHL,ANA,C,Tim,Washe,2001-08-25,"6' 3""",212,42,NULL,USA,"Detroit, Michigan",NULL,8485512,L,2,14,5,NULL
8481563,NHL,ANA,D,Drew,Helleson,2001-03-26,"6' 3""",208,14,NULL,USA,"Farmington, Minnesota",2019,8481563,R,2,20,15,NULL
8482731,NHL,ANA,D,Tyson,Hinds,2003-03-12,"6' 3""",201,60,NULL,CAN,"Gatineau, Quebec",2021,8482731,L,0,2,0,NULL
8475324,NHL,ANA,D,Nick,Jensen,1990-09-21,"6' 0""",202,NULL,NULL,USA,"Rogers, Minnesota",2009,8475324,R,4,22,17,NULL
8481605,NHL,ANA,D,Jackson,LaCombe,2001-01-09,"6' 2""",208,2,NULL,USA,"Eden Prairie, Minnesota",2019,8481605,L,10,19,58,NULL
8483490,NHL,ANA,D,Pavel,Mintyukov,2003-11-25,"6' 1""",207,98,NULL,RUS,Moscow,2022,8483490,L,8,17,22,NULL
8484262,NHL,ANA,D,Travis,Mitchell,1999-11-25,"6' 4""",203,NULL,NULL,USA,"South Lyon, Michigan",NULL,8484262,L,1,6,1,NULL
8482178,NHL,ANA,D,Ian,Moore,2002-01-04,"6' 3""",205,3,NULL,USA,"Salt Lake City, Utah",2020,8482178,R,4,24,12,NULL
8481461,NHL,ANA,D,Corey,Schueneman,1995-09-02,"5' 11""",204,NULL,NULL,USA,"Milford, Michigan",NULL,8481461,L,0,0,0,NULL
8483521,NHL,ANA,D,Noah,Warren,2004-07-15,"6' 4""",224,47,NULL,CAN,"Montréal, Quebec",2022,8483521,R,NULL,NULL,NULL,NULL
8480808,NHL,ANA,D,Jett,Woo,2000-07-27,"6' 0""",205,NULL,NULL,CAN,"Winnipeg, Manitoba",2018,8480808,R,NULL,NULL,NULL,NULL
8476316,NHL,ANA,G,Laurent,Brossoit,1993-03-23,"6' 3""",203,NULL,NULL,CAN,"Port Alberni, British Columbia",2011,8476316,L,0,0,0,0.91
8480843,NHL,ANA,G,Lukas,Dostal,2000-06-22,"6' 2""",190,1,NULL,CZE,Brno,2018,8480843,L,0,0,0,0.90
8478024,NHL,ANA,G,Ville,Husso,1995-02-06,"6' 3""",205,33,NULL,FIN,Helsinki,2014,8478024,L,0,0,0,0.90
8479591,NHL,BOS,C,Michael,Eyssimont,1996-09-09,"6' 0""",195,81,NULL,USA,"Littleton, Colorado",2016,8479591,L,8,31,18,NULL
8479987,NHL,BOS,C,Morgan,Geekie,1998-07-20,"6' 3""",212,39,NULL,CAN,"Strathclair, Manitoba",2017,8479987,R,39,22,68,NULL
8485395,NHL,BOS,C,James,Hagens,2006-11-03,"5' 11""",177,44,NULL,USA,"Hauppauge, New York",2025,8485395,L,0,2,1,NULL
8479661,NHL,BOS,L,Tanner,Jeannot,1997-05-29,"6' 2""",221,84,NULL,CAN,"Estevan, Saskatchewan",NULL,8479661,L,6,66,22,NULL
8480355,NHL,BOS,C,Mark,Kastelic,1999-03-11,"6' 4""",234,47,NULL,USA,"Phoenix, Arizona",2019,8480355,R,12,140,22,NULL
8482177,NHL,BOS,C,Marat,Khusnutdinov,2002-07-17,"5' 11""",184,92,NULL,RUS,Moscow,2020,8482177,L,15,16,33,NULL
8476374,NHL,BOS,C,Sean,Kuraly,1993-01-20,"6' 2""",208,52,NULL,USA,"Niagara Falls, New York",2011,8476374,L,6,41,22,NULL
8477496,NHL,BOS,C,Elias,Lindholm,1994-12-02,"6' 1""",200,28,NULL,SWE,Boden,2013,8477496,R,17,38,48,NULL
8483489,NHL,BOS,C,Fraser,Minten,2004-07-05,"6' 2""",204,93,NULL,CAN,"Vancouver, British Columbia",2022,8483489,L,17,20,35,NULL
8479999,NHL,BOS,C,Casey,Mittelstadt,1998-11-22,"6' 1""",205,11,NULL,USA,"Eden Prairie, Minnesota",2017,8479999,L,15,12,42,NULL
8477956,NHL,BOS,R,David,Pastrnak,1996-05-25,"6' 0""",199,88,NULL,CZE,Havirov,2014,8477956,R,29,72,100,NULL
8482175,NHL,BOS,R,JJ,Peterka,2002-01-14,"6' 0""",189,77,NULL,DEU,Munich,2020,8482175,L,25,28,47,NULL
8482634,NHL,BOS,C,Alex,Steeves,1999-12-10,"6' 0""",199,21,NULL,USA,"Saint Paul, Minnesota",NULL,8482634,L,9,34,16,NULL
8478401,NHL,BOS,C,Pavel,Zacha,1997-04-06,"6' 4""",211,18,NULL,CZE,Brno,2015,8478401,L,30,28,65,NULL
8481219,NHL,BOS,D,Jonathan,Aspirot,1999-05-16,"6' 0""",212,45,NULL,CAN,"Mascouche, Quebec",NULL,8481219,L,3,43,13,NULL
8478840,NHL,BOS,D,Will,Borgen,1996-12-19,"6' 3""",199,17,NULL,USA,"Moorhead, Minnesota",2015,8478840,R,5,41,15,NULL
8477365,NHL,BOS,D,Connor,Clifton,1995-04-28,"6' 0""",196,75,NULL,USA,"Matawan, New Jersey",2013,8477365,R,2,53,6,NULL
8480887,NHL,BOS,D,Jordan,Harris,2000-07-07,"6' 0""",189,43,NULL,USA,"Haverhill, Massachusetts",2018,8480887,L,1,0,3,NULL
8480035,NHL,BOS,D,Henri,Jokiharju,1999-06-17,"6' 0""",205,20,NULL,FIN,Oulu,2017,8480035,R,2,14,15,NULL
8476854,NHL,BOS,D,Hampus,Lindholm,1994-01-20,"6' 4""",217,27,NULL,SWE,Helsingborg,2012,8476854,L,5,58,26,NULL
8482511,NHL,BOS,D,Mason,Lohrei,2001-01-17,"6' 5""",218,6,NULL,USA,"Baton Rouge, Louisiana",2020,8482511,L,7,20,26,NULL
8479325,NHL,BOS,D,Charlie,McAvoy,1997-12-21,"6' 1""",211,73,NULL,USA,"Long Beach, New York",2016,8479325,R,11,62,61,NULL
8477507,NHL,BOS,D,Nikita,Zadorov,1995-04-16,"6' 7""",255,91,NULL,RUS,Moscow,2013,8477507,L,2,152,22,NULL
8480280,NHL,BOS,G,Jeremy,Swayman,1998-11-24,"6' 3""",195,1,NULL,USA,"Anchorage, Alaska",2017,8480280,L,0,0,0,0.91
8484145,NHL,BUF,L,Zach,Benson,2005-05-12,"5' 10""",177,6,NULL,CAN,"Chilliwack, British Columbia",2023,8484145,L,13,42,43,NULL
8475842,NHL,BUF,C,Sam,Carrick,1992-02-04,"6' 0""",202,10,NULL,CAN,"Stouffville, Ontario",2010,8475842,R,9,65,16,NULL
8479941,NHL,BUF,R,Justin,Danforth,1993-03-15,"5' 8""",193,15,NULL,CAN,"Oshawa, Ontario",NULL,8479941,R,0,2,0,NULL
8482659,NHL,BUF,R,Josh,Doan,2002-02-01,"6' 2""",198,91,NULL,USA,"Scottsdale, Arizona",2021,8482659,R,25,25,52,NULL
8483090,NHL,BUF,C,Riley,Fiddler-Schultz,2002-05-13,"6' 0""",197,45,NULL,CAN,"Edmonton, Alberta",NULL,8483090,L,NULL,NULL,NULL,NULL
8484797,NHL,BUF,C,Konsta,Helenius,2006-05-11,"5' 11""",190,94,NULL,FIN,Ylojarvi,2024,8484797,R,1,0,4,NULL
8482896,NHL,BUF,C,Tyson,Kozak,2002-12-29,"5' 11""",185,48,NULL,CAN,"Souris, Manitoba",2021,8482896,L,2,2,6,NULL
