playerID,sportCode,team_id,team_abbrev,team_name,positionCode,firstName,lastName,dateOfBirth,height,weight,number,college,birthCountry,birthCityState,draftYear,playerID,wins,majors,drivingDistance,scoringAverage,eventsPlayed,cutsMade
5075652,PGA,1106,PGA,PGA Tour,G,A.J.,Ewart,NULL,NULL,NULL,NULL,NULL,Canada,NULL,2026,5075652,0.0,NULL,NULL,69.53030395507812,20.0,14.0
10906,PGA,1106,PGA,PGA Tour,G,Aaron,Rai,1995-03-03,71,151,NULL,NULL,England,Wolverhampton,2019,10906,1.0,1.0,NULL,70.1,16.0,10.0
388,PGA,1106,PGA,PGA Tour,G,Adam,Scott,1980-07-16,72,180,NULL,NULL,Australia,"Adelaide, South Australia",2000,388,0.0,0.0,314.1000061035156,69.9,16.0,14.0
5076011,PGA,1106,PGA,PGA Tour,G,Adrien,Dumont de Chassart,2000-03-01,NULL,NULL,NULL,NULL,Belgium,Villers la Ville,2026,5076011,0.0,0.0,311.29998779296875,69.72413635253906,19.0,11.0
4419142,PGA,1106,PGA,PGA Tour,G,Akshay,Bhatia,2002-01-31,73,130,NULL,NULL,USA,"Los Angeles, California",2019,4419142,1.0,0.0,NULL,69.7966079711914,18.0,11.0
5080439,PGA,1106,PGA,PGA Tour,G,Aldrich,Potgieter,2004-09-13,72,192,NULL,NULL,South Africa,Pretoria,2023,5080439,0.0,0.0,330.3999938964844,70.7,19.0,9.0
4358081,PGA,1106,PGA,PGA Tour,G,Alejandro,Tosti,1996-05-30,66,165,NULL,NULL,Argentina,Rosario,2018,4358081,0.0,0.0,313.1000061035156,71.7,20.0,4.0
4364865,PGA,1106,PGA,PGA Tour,G,Alex,Fitzpatrick,1999-01-02,68,171,NULL,NULL,England,Sheffield,2022,4364865,1.0,0.0,NULL,NULL,10.0,8.0
3832,PGA,1106,PGA,PGA Tour,G,Alex,Noren,1982-07-12,71,165,NULL,NULL,Sweden,Stockholm,2008,3832,0.0,0.0,NULL,70.3,18.0,13.0
9484,PGA,1106,PGA,PGA Tour,G,Alex,Smalley,1996-10-21,72,160,NULL,NULL,USA,"Rochester, New York",2017,9484,0.0,0.0,NULL,69.76470947265625,20.0,15.0
5502,PGA,1106,PGA,PGA Tour,G,Andrew,Putnam,1989-01-25,73,170,NULL,NULL,USA,"Tacoma, Washington",2010,5502,0.0,0.0,NULL,70.2,20.0,14.0
4425898,PGA,1106,PGA,PGA Tour,G,Austin,Eckroat,1999-01-12,NULL,NULL,NULL,NULL,USA,"Edmond, Oklahoma",2020,4425898,0.0,NULL,NULL,69.73015594482422,19.0,13.0
6011,PGA,1106,PGA,PGA Tour,G,Beau,Hossler,1995-03-16,73,195,NULL,NULL,USA,"Mission Viejo, California",2011,6011,0.0,NULL,NULL,69.31578826904297,18.0,11.0
4404992,PGA,1106,PGA,PGA Tour,G,Ben,Griffin,1996-05-06,73,185,NULL,NULL,USA,"Chapel Hill, North Carolina",2018,4404992,0.0,0.0,NULL,69.6351318359375,22.0,16.0
1222,PGA,1106,PGA,PGA Tour,G,Brandt,Snedeker,1980-12-08,73,185,NULL,NULL,USA,"Nashville, Tennessee",2004,1222,1.0,0.0,NULL,70.3,16.0,8.0
1225,PGA,1106,PGA,PGA Tour,G,Brian,Harman,1987-01-19,67,150,NULL,NULL,USA,"Savannah, Georgia",2004,1225,0.0,0.0,NULL,70.4,20.0,16.0
6798,PGA,1106,PGA,PGA Tour,G,Brooks,Koepka,1990-05-03,72,205,NULL,NULL,USA,"West Palm Beach, Florida",2012,6798,0.0,0.0,314.29998779296875,69.9,15.0,9.0
5338,PGA,1106,PGA,PGA Tour,G,Bud,Cauley,1990-03-16,67,160,NULL,NULL,USA,"Jacksonville, Florida",2010,5338,1.0,0.0,NULL,70.1,19.0,16.0
4425906,PGA,1106,PGA,PGA Tour,G,Cameron,Young,1997-05-07,71,185,NULL,NULL,USA,"Scarborough, New York",2019,4425906,2.0,0.0,315.1000061035156,69.28125,16.0,16.0
205,PGA,1106,PGA,PGA Tour,G,Charley,Hoffman,1976-12-27,72,200,NULL,NULL,USA,"San Diego, California",1994,205,0.0,NULL,NULL,NULL,15.0,1.0
4690755,PGA,1106,PGA,PGA Tour,G,Chris,Gotterup,1999-07-20,72,210,NULL,NULL,USA,"Easton, Maryland",2022,4690755,3.0,0.0,322.20001220703125,69.34210205078125,20.0,18.0
9243,PGA,1106,PGA,PGA Tour,G,Christiaan,Bezuidenhout,1994-05-18,73,195,NULL,NULL,South Africa,Delmas,2026,9243,0.0,0.0,NULL,69.30000305175781,20.0,16.0
11395,PGA,1106,PGA,PGA Tour,G,Christo,Lamprecht,2001-01-30,80,220,NULL,NULL,South Africa,George,2026,11395,0.0,NULL,318.0,71.7,18.0,5.0
10592,PGA,1106,PGA,PGA Tour,G,Collin,Morikawa,1997-02-06,69,160,NULL,NULL,USA,"Los Angeles, California",2019,10592,1.0,0.0,NULL,69.0,14.0,12.0
9126,PGA,1106,PGA,PGA Tour,G,Corey,Conners,1992-01-06,72,190,NULL,NULL,Canada,"Listowel, Ontario",2013,9126,0.0,0.0,NULL,70.3,20.0,18.0
9025,PGA,1106,PGA,PGA Tour,G,Daniel,Berger,1993-04-07,73,175,NULL,NULL,USA,"Jupiter, Florida",2013,9025,0.0,0.0,NULL,70.5,18.0,12.0
82,PGA,1106,PGA,PGA Tour,G,Darren,Clarke,1968-08-14,74,215,NULL,NULL,Northern Ireland,Dungannon,1991,82,0.0,0.0,NULL,NULL,0.0,0.0
115,PGA,1106,PGA,PGA Tour,G,David,Duval,1971-11-09,72,180,NULL,NULL,USA,"Jacksonville, Florida",1990,115,0.0,0.0,NULL,NULL,0.0,0.0
4602218,PGA,1106,PGA,PGA Tour,G,Davis,Thompson,1999-06-05,76,195,NULL,NULL,USA,"Atlanta, Georgia",2021,4602218,0.0,0.0,NULL,69.52458953857422,19.0,12.0
10054,PGA,1106,PGA,PGA Tour,G,Denny,McCarthy,1993-03-04,69,165,NULL,NULL,USA,"Takoma Park, Maryland",2015,10054,0.0,0.0,NULL,70.0,21.0,16.0
11456,PGA,1106,PGA,PGA Tour,G,Doug,Ghim,1996-04-16,69,165,NULL,NULL,USA,"Arlington Heights, Illinois",2026,11456,0.0,NULL,NULL,69.14545440673828,17.0,11.0
10522,PGA,1106,PGA,PGA Tour,G,Eric,Cole,1988-06-12,69,155,NULL,NULL,USA,"Palm Springs, California",2026,10522,0.0,0.0,NULL,69.5,21.0,14.0
91,PGA,1106,PGA,PGA Tour,G,Fred,Couples,1959-10-03,71,185,NULL,NULL,USA,"Seattle, Washington",1979,91,0.0,0.0,NULL,NULL,0.0,0.0
3550,PGA,1106,PGA,PGA Tour,G,Gary,Woodland,1984-05-21,73,195,NULL,NULL,USA,"Topeka, Kansas",2009,3550,1.0,0.0,322.29998779296875,70.2,19.0,13.0
5139663,PGA,1106,PGA,PGA Tour,G,Gordon,Sargent,NULL,NULL,NULL,NULL,NULL,USA,"Birmingham, Alabama",2026,5139663,0.0,NULL,319.0,70.6,16.0,5.0
301,PGA,1106,PGA,PGA Tour,G,Graeme,McDowell,1979-07-30,70,160,NULL,NULL,Northern Ireland,Portrush,2001,301,0.0,0.0,NULL,NULL,0.0,0.0
9221,PGA,1106,PGA,PGA Tour,G,Haotong,Li,1995-08-03,72,165,NULL,NULL,China,Hunan,2014,9221,0.0,0.0,311.29998779296875,70.4,21.0,8.0
5408,PGA,1106,PGA,PGA Tour,G,Harris,English,1989-07-23,75,185,NULL,NULL,USA,"Valdosta, Georgia",2012,5408,0.0,0.0,NULL,69.9,19.0,15.0
576,PGA,1106,PGA,PGA Tour,G,Henrik,Stenson,1976-04-05,74,190,NULL,NULL,Sweden,Gothenburg,2001,576,0.0,0.0,NULL,NULL,0.0,0.0
5860,PGA,1106,PGA,PGA Tour,G,Hideki,Matsuyama,1992-02-25,71,198,NULL,NULL,Japan,Ehime,2011,5860,0.0,0.0,NULL,69.65789794921875,19.0,19.0
10166,PGA,1106,PGA,PGA Tour,G,J.J.,Spaun,1990-08-21,69,185,NULL,NULL,USA,"Los Angeles, California",2015,10166,1.0,0.0,NULL,69.9,20.0,13.0
10505,PGA,1106,PGA,PGA Tour,G,J.T.,Poston,1993-06-01,74,165,NULL,NULL,USA,"Hickory, North Carolina",2018,10505,1.0,0.0,NULL,70.3,18.0,13.0
5215013,PGA,1106,PGA,PGA Tour,G,Jackson,Koivun,2005-05-23,NULL,NULL,NULL,NULL,USA,"Chapel Hill, North Carolina",2026,5215013,1.0,0.0,NULL,NULL,5.0,4.0
4982182,PGA,1106,PGA,PGA Tour,G,Jackson,Suber,NULL,73,175,NULL,NULL,USA,"Tampa, Florida",2022,4982182,0.0,0.0,NULL,69.59648895263672,18.0,11.0
