Team	Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From	Heightx	xxHeight	Height
Celtics	G/F	45	Banton, Dalano	6 ft 7 in (2.01 m)	204 lb (93 kg)	11/7/1999	Nebraska	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Celtics	F	12	Brissett, Oshae	6 ft 7 in (2.01 m)	210 lb (95 kg)	6/20/1998	Syracuse	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Celtics	G	13	Brogdon, Malcolm	6 ft 4 in (1.93 m)	229 lb (104 kg)	12/11/1992	Virginia	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Celtics	G/F	7	Brown, Jaylen	6 ft 6 in (1.98 m)	223 lb (101 kg)	10/24/1996	California	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Celtics	G	20	Davison, JD (TW)	6 ft 1 in (1.85 m)	195 lb (88 kg)	10/3/2002	Alabama	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Celtics	F	30	Hauser, Sam	6 ft 7 in (2.01 m)	217 lb (98 kg)	12/8/1997	Virginia	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Celtics	F/C	42	Horford, Al	6 ft 9 in (2.06 m)	240 lb (109 kg)	6/3/1986	Florida	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Celtics	F/C	40	Kornet, Luke	7 ft 2 in (2.18 m)	250 lb (113 kg)	7/15/1995	Vanderbilt	7 ft 2 in (2.18 m)	7 ft 2	7' 2"
Celtics	G/F	—	Mykhailiuk, Sviatoslav	6 ft 8 in (2.03 m)	205 lb (93 kg)	6/10/1997	Kansas	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Celtics	F/C	8	Porziņģis, Kristaps	7 ft 3 in (2.21 m)	240 lb (109 kg)	8/2/1995	Latvia	7 ft 3 in (2.21 m)	7 ft 3	7' 3"
Celtics	G	11	Pritchard, Payton	6 ft 1 in (1.85 m)	195 lb (88 kg)	1/28/1998	Oregon	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
